time,v
1.130000000000000000e+02,1.664331054687500000e+01
1.140000000000000000e+02,1.649257278442382812e+01
1.150000000000000000e+02,1.637231445312500000e+01
1.160000000000000000e+02,1.617146873474121094e+01
1.170000000000000000e+02,1.597041797637939453e+01
1.180000000000000000e+02,1.579906749725341797e+01
1.190000000000000000e+02,1.561624050140380859e+01
1.200000000000000000e+02,1.545112800598144531e+01
1.210000000000000000e+02,1.519221878051757812e+01
1.220000000000000000e+02,1.501497268676757812e+01
1.230000000000000000e+02,1.489782810211181641e+01
1.240000000000000000e+02,1.461434650421142578e+01
1.250000000000000000e+02,1.440129280090332031e+01
1.260000000000000000e+02,1.413167572021484375e+01
1.270000000000000000e+02,1.394168472290039062e+01
1.280000000000000000e+02,1.379941844940185547e+01
1.290000000000000000e+02,1.360957908630371094e+01
1.300000000000000000e+02,1.330777645111083984e+01
1.310000000000000000e+02,1.303807258605957031e+01
1.320000000000000000e+02,1.271787166595458984e+01
1.330000000000000000e+02,1.234348011016845703e+01
1.340000000000000000e+02,1.207399940490722656e+01
1.350000000000000000e+02,1.172018051147460938e+01
1.360000000000000000e+02,1.138947677612304688e+01
1.370000000000000000e+02,1.117542457580566406e+01
1.380000000000000000e+02,1.089147663116455078e+01
1.390000000000000000e+02,1.071154880523681641e+01
1.400000000000000000e+02,1.043502521514892578e+01
1.410000000000000000e+02,1.019185543060302734e+01
1.420000000000000000e+02,1.004694843292236328e+01
1.430000000000000000e+02,9.806559562683105469e+00
1.440000000000000000e+02,9.461904525756835938e+00
1.450000000000000000e+02,9.006687164306640625e+00
1.460000000000000000e+02,8.752425193786621094e+00
1.470000000000000000e+02,8.497554779052734375e+00
1.480000000000000000e+02,8.273378372192382812e+00
1.490000000000000000e+02,7.915050029754638672e+00
1.500000000000000000e+02,7.685932636260986328e+00
1.510000000000000000e+02,7.345694065093994141e+00
1.520000000000000000e+02,7.017386913299560547e+00
1.530000000000000000e+02,6.590795516967773438e+00
1.540000000000000000e+02,6.259317398071289062e+00
1.550000000000000000e+02,5.836121082305908203e+00
1.560000000000000000e+02,5.615892410278320312e+00
1.570000000000000000e+02,5.206586837768554688e+00
1.580000000000000000e+02,4.965872764587402344e+00
1.590000000000000000e+02,4.539583683013916016e+00
1.600000000000000000e+02,3.993410348892211914e+00
1.610000000000000000e+02,3.601941347122192383e+00
1.620000000000000000e+02,3.186716318130493164e+00
1.630000000000000000e+02,2.811631917953491211e+00
1.640000000000000000e+02,2.505162477493286133e+00
1.650000000000000000e+02,2.090535163879394531e+00
1.660000000000000000e+02,1.595050334930419922e+00
1.670000000000000000e+02,8.203600645065307617e-01
1.680000000000000000e+02,2.728906869888305664e-01
1.690000000000000000e+02,-3.191526830196380615e-01
1.700000000000000000e+02,-7.473821043968200684e-01
1.710000000000000000e+02,-1.173666954040527344e+00
1.720000000000000000e+02,-1.758300662040710449e+00
1.730000000000000000e+02,-2.375886201858520508e+00
1.740000000000000000e+02,-2.811830997467041016e+00
1.750000000000000000e+02,-3.418710708618164062e+00
1.760000000000000000e+02,-4.043739318847656250e+00
1.770000000000000000e+02,-4.604884624481201172e+00
1.780000000000000000e+02,-5.196052074432373047e+00
1.790000000000000000e+02,-5.871753692626953125e+00
1.800000000000000000e+02,-6.559350967407226562e+00
1.810000000000000000e+02,-7.107465267181396484e+00
1.820000000000000000e+02,-7.914825916290283203e+00
1.830000000000000000e+02,-8.699543952941894531e+00
1.840000000000000000e+02,-9.543210983276367188e+00
