time,JNCX
1.020000000000000000e+02,8.023595064878463745e-02
1.030000000000000000e+02,8.009742200374603271e-02
1.040000000000000000e+02,7.970155030488967896e-02
1.050000000000000000e+02,7.949277758598327637e-02
1.060000000000000000e+02,7.921345531940460205e-02
1.070000000000000000e+02,7.930260896682739258e-02
1.080000000000000000e+02,7.923091202974319458e-02
1.090000000000000000e+02,7.932870090007781982e-02
1.100000000000000000e+02,7.913259416818618774e-02
1.110000000000000000e+02,7.867009192705154419e-02
1.120000000000000000e+02,7.823440432548522949e-02
1.130000000000000000e+02,7.808203250169754028e-02
1.140000000000000000e+02,7.789398729801177979e-02
1.150000000000000000e+02,7.765843719244003296e-02
1.160000000000000000e+02,7.773230969905853271e-02
1.170000000000000000e+02,7.776129990816116333e-02
1.180000000000000000e+02,7.788434624671936035e-02
1.190000000000000000e+02,7.761142402887344360e-02
1.200000000000000000e+02,7.750222086906433105e-02
1.210000000000000000e+02,7.710563391447067261e-02
1.220000000000000000e+02,7.686177641153335571e-02
1.230000000000000000e+02,7.673055678606033325e-02
1.240000000000000000e+02,7.648700475692749023e-02
1.250000000000000000e+02,7.615928351879119873e-02
1.260000000000000000e+02,7.607185840606689453e-02
1.270000000000000000e+02,7.596345245838165283e-02
1.280000000000000000e+02,7.573138922452926636e-02
1.290000000000000000e+02,7.553370296955108643e-02
1.300000000000000000e+02,7.554612308740615845e-02
1.310000000000000000e+02,7.544073462486267090e-02
1.320000000000000000e+02,7.533123344182968140e-02
1.330000000000000000e+02,7.490722090005874634e-02
1.340000000000000000e+02,7.478209584951400757e-02
1.350000000000000000e+02,7.472752779722213745e-02
1.360000000000000000e+02,7.418046146631240845e-02
1.370000000000000000e+02,7.384535670280456543e-02
1.380000000000000000e+02,7.390496879816055298e-02
1.390000000000000000e+02,7.355248183012008667e-02
1.400000000000000000e+02,7.313795387744903564e-02
1.410000000000000000e+02,7.279177010059356689e-02
1.420000000000000000e+02,7.282312214374542236e-02
1.430000000000000000e+02,7.267204672098159790e-02
1.440000000000000000e+02,7.224600017070770264e-02
1.450000000000000000e+02,7.208831608295440674e-02
1.460000000000000000e+02,7.195504009723663330e-02
1.470000000000000000e+02,7.202129065990447998e-02
1.480000000000000000e+02,7.183410227298736572e-02
1.490000000000000000e+02,7.159382849931716919e-02
1.500000000000000000e+02,7.132554054260253906e-02
1.510000000000000000e+02,7.109493762254714966e-02
1.520000000000000000e+02,7.107675075531005859e-02
1.530000000000000000e+02,7.085562497377395630e-02
1.540000000000000000e+02,7.058101892471313477e-02
1.550000000000000000e+02,7.013807445764541626e-02
1.560000000000000000e+02,7.011267542839050293e-02
1.570000000000000000e+02,7.007276266813278198e-02
1.580000000000000000e+02,6.985349953174591064e-02
1.590000000000000000e+02,6.965319067239761353e-02
1.600000000000000000e+02,6.917577981948852539e-02
1.610000000000000000e+02,6.892455369234085083e-02
1.620000000000000000e+02,6.878782808780670166e-02
1.630000000000000000e+02,6.851675361394882202e-02
1.640000000000000000e+02,6.805808097124099731e-02
1.650000000000000000e+02,6.795340031385421753e-02
1.660000000000000000e+02,6.809195131063461304e-02
1.670000000000000000e+02,6.764956563711166382e-02
1.680000000000000000e+02,6.728798151016235352e-02
1.690000000000000000e+02,6.739023327827453613e-02
1.700000000000000000e+02,6.709439307451248169e-02
1.710000000000000000e+02,6.704940646886825562e-02
1.720000000000000000e+02,6.711354851722717285e-02
1.730000000000000000e+02,6.708425283432006836e-02
1.740000000000000000e+02,6.649568676948547363e-02
1.750000000000000000e+02,6.611028313636779785e-02
1.760000000000000000e+02,6.581305712461471558e-02
1.770000000000000000e+02,6.560776382684707642e-02
1.780000000000000000e+02,6.543560326099395752e-02
1.790000000000000000e+02,6.502131372690200806e-02
1.800000000000000000e+02,6.494477391242980957e-02
1.810000000000000000e+02,6.465879082679748535e-02
1.820000000000000000e+02,6.446737796068191528e-02
1.830000000000000000e+02,6.378117948770523071e-02
1.840000000000000000e+02,6.404346972703933716e-02
1.850000000000000000e+02,6.354424357414245605e-02
1.860000000000000000e+02,6.363630294799804688e-02
1.870000000000000000e+02,6.346020102500915527e-02
1.880000000000000000e+02,6.320209056138992310e-02
1.890000000000000000e+02,6.300145387649536133e-02
1.900000000000000000e+02,6.271314620971679688e-02
1.910000000000000000e+02,6.273590773344039917e-02
1.920000000000000000e+02,6.268771737813949585e-02
1.930000000000000000e+02,6.280586868524551392e-02
1.940000000000000000e+02,6.287813931703567505e-02
1.950000000000000000e+02,6.259389221668243408e-02
1.960000000000000000e+02,6.234921514987945557e-02
1.970000000000000000e+02,6.207550689578056335e-02
1.980000000000000000e+02,6.179490685462951660e-02
1.990000000000000000e+02,6.188614666461944580e-02
2.000000000000000000e+02,6.174648553133010864e-02
2.010000000000000000e+02,6.142907589673995972e-02
2.020000000000000000e+02,6.137105450034141541e-02
2.030000000000000000e+02,6.158910319209098816e-02
2.040000000000000000e+02,6.162152066826820374e-02
2.050000000000000000e+02,6.102590262889862061e-02
2.060000000000000000e+02,6.112762540578842163e-02
2.070000000000000000e+02,6.071371585130691528e-02
2.080000000000000000e+02,6.009821966290473938e-02
2.090000000000000000e+02,5.978957563638687134e-02
2.100000000000000000e+02,5.955956131219863892e-02
2.110000000000000000e+02,5.920732766389846802e-02
2.120000000000000000e+02,5.903383344411849976e-02
2.130000000000000000e+02,5.895169451832771301e-02
2.140000000000000000e+02,5.872374400496482849e-02
2.150000000000000000e+02,5.844702944159507751e-02
2.160000000000000000e+02,5.847973376512527466e-02
2.170000000000000000e+02,5.801261588931083679e-02
2.180000000000000000e+02,5.795225873589515686e-02
2.190000000000000000e+02,5.778972059488296509e-02
2.200000000000000000e+02,5.795003101229667664e-02
2.210000000000000000e+02,5.804641172289848328e-02
2.220000000000000000e+02,5.767661705613136292e-02
2.230000000000000000e+02,5.757459625601768494e-02
2.240000000000000000e+02,5.737995356321334839e-02
2.250000000000000000e+02,5.708866938948631287e-02
2.260000000000000000e+02,5.686384439468383789e-02
2.270000000000000000e+02,5.670488998293876648e-02
2.280000000000000000e+02,5.615713819861412048e-02
2.290000000000000000e+02,5.590291321277618408e-02
2.300000000000000000e+02,5.576451495289802551e-02
2.310000000000000000e+02,5.558428913354873657e-02
2.320000000000000000e+02,5.535909533500671387e-02
2.330000000000000000e+02,5.532727390527725220e-02
2.340000000000000000e+02,5.521664768457412720e-02
2.350000000000000000e+02,5.502143874764442444e-02
2.360000000000000000e+02,5.466835945844650269e-02
2.370000000000000000e+02,5.417783558368682861e-02
2.380000000000000000e+02,5.386235937476158142e-02
2.390000000000000000e+02,5.358666554093360901e-02
2.400000000000000000e+02,5.343141034245491028e-02
2.410000000000000000e+02,5.316888913512229919e-02
2.420000000000000000e+02,5.296522378921508789e-02
2.430000000000000000e+02,5.264458060264587402e-02
2.440000000000000000e+02,5.225751921534538269e-02
2.450000000000000000e+02,5.212641507387161255e-02
2.460000000000000000e+02,5.186806246638298035e-02
2.470000000000000000e+02,5.135260149836540222e-02
2.480000000000000000e+02,5.157503113150596619e-02
2.490000000000000000e+02,5.125061422586441040e-02
2.500000000000000000e+02,5.127152428030967712e-02
2.510000000000000000e+02,5.105749145150184631e-02
2.520000000000000000e+02,5.031336471438407898e-02
2.530000000000000000e+02,5.029096826910972595e-02
2.540000000000000000e+02,5.019545927643775940e-02
2.550000000000000000e+02,4.979523271322250366e-02
2.560000000000000000e+02,4.991830885410308838e-02
2.570000000000000000e+02,4.992060363292694092e-02
2.580000000000000000e+02,4.957757890224456787e-02
2.590000000000000000e+02,4.916853830218315125e-02
2.600000000000000000e+02,4.897424206137657166e-02
2.610000000000000000e+02,4.829296842217445374e-02
