time,ci
1.110000000000000000e+02,5.857442617416381836e-01
1.120000000000000000e+02,5.861274003982543945e-01
1.130000000000000000e+02,5.864146351814270020e-01
1.140000000000000000e+02,5.866283178329467773e-01
1.150000000000000000e+02,5.867716073989868164e-01
1.160000000000000000e+02,5.868371725082397461e-01
1.170000000000000000e+02,5.868111848831176758e-01
1.180000000000000000e+02,5.867052674293518066e-01
1.190000000000000000e+02,5.865278840065002441e-01
1.200000000000000000e+02,5.862842202186584473e-01
1.210000000000000000e+02,5.859614014625549316e-01
1.220000000000000000e+02,5.855609774589538574e-01
1.230000000000000000e+02,5.851190686225891113e-01
1.240000000000000000e+02,5.846139788627624512e-01
1.250000000000000000e+02,5.840290188789367676e-01
1.260000000000000000e+02,5.833715200424194336e-01
1.270000000000000000e+02,5.826508998870849609e-01
1.280000000000000000e+02,5.818987488746643066e-01
1.290000000000000000e+02,5.811190605163574219e-01
1.300000000000000000e+02,5.802774429321289062e-01
1.310000000000000000e+02,5.793597698211669922e-01
1.320000000000000000e+02,5.783661007881164551e-01
1.330000000000000000e+02,5.772786140441894531e-01
1.340000000000000000e+02,5.761138796806335449e-01
1.350000000000000000e+02,5.748810172080993652e-01
1.360000000000000000e+02,5.735714435577392578e-01
1.370000000000000000e+02,5.722193717956542969e-01
1.380000000000000000e+02,5.708380341529846191e-01
1.390000000000000000e+02,5.694375038146972656e-01
1.400000000000000000e+02,5.680182576179504395e-01
1.410000000000000000e+02,5.665695071220397949e-01
1.420000000000000000e+02,5.651211142539978027e-01
1.430000000000000000e+02,5.636737346649169922e-01
1.440000000000000000e+02,5.621867775917053223e-01
1.450000000000000000e+02,5.606186389923095703e-01
1.460000000000000000e+02,5.589939951896667480e-01
1.470000000000000000e+02,5.573558807373046875e-01
1.480000000000000000e+02,5.557108521461486816e-01
1.490000000000000000e+02,5.540395975112915039e-01
1.500000000000000000e+02,5.523409843444824219e-01
1.510000000000000000e+02,5.506232380867004395e-01
1.520000000000000000e+02,5.488668084144592285e-01
1.530000000000000000e+02,5.470570921897888184e-01
1.540000000000000000e+02,5.451970100402832031e-01
1.550000000000000000e+02,5.432909131050109863e-01
1.560000000000000000e+02,5.413637757301330566e-01
1.570000000000000000e+02,5.394201278686523438e-01
1.580000000000000000e+02,5.374575853347778320e-01
1.590000000000000000e+02,5.354740619659423828e-01
1.600000000000000000e+02,5.334129333496093750e-01
1.610000000000000000e+02,5.312865972518920898e-01
1.620000000000000000e+02,5.291259884834289551e-01
1.630000000000000000e+02,5.269364714622497559e-01
1.640000000000000000e+02,5.247395038604736328e-01
1.650000000000000000e+02,5.225282311439514160e-01
1.660000000000000000e+02,5.202689766883850098e-01
1.670000000000000000e+02,5.178993940353393555e-01
1.680000000000000000e+02,5.154179334640502930e-01
1.690000000000000000e+02,5.128657221794128418e-01
1.700000000000000000e+02,5.102696418762207031e-01
1.710000000000000000e+02,5.076622962951660156e-01
1.720000000000000000e+02,5.050181746482849121e-01
1.730000000000000000e+02,5.023066997528076172e-01
1.740000000000000000e+02,4.995590746402740479e-01
1.750000000000000000e+02,4.967806935310363770e-01
1.760000000000000000e+02,4.939432442188262939e-01
1.770000000000000000e+02,4.910589456558227539e-01
1.780000000000000000e+02,4.881366193294525146e-01
1.790000000000000000e+02,4.851608872413635254e-01
1.800000000000000000e+02,4.821205139160156250e-01
1.810000000000000000e+02,4.790418744087219238e-01
1.820000000000000000e+02,4.759095311164855957e-01
1.830000000000000000e+02,4.726906120777130127e-01
1.840000000000000000e+02,4.693872630596160889e-01
1.850000000000000000e+02,4.660188257694244385e-01
1.860000000000000000e+02,4.625912010669708252e-01
1.870000000000000000e+02,4.590635001659393311e-01
1.880000000000000000e+02,4.554376602172851562e-01
1.890000000000000000e+02,4.517242610454559326e-01
1.900000000000000000e+02,4.479016363620758057e-01
1.910000000000000000e+02,4.439774453639984131e-01
1.920000000000000000e+02,4.399605095386505127e-01
1.930000000000000000e+02,4.358554482460021973e-01
1.940000000000000000e+02,4.316734969615936279e-01
1.950000000000000000e+02,4.274198710918426514e-01
1.960000000000000000e+02,4.231010079383850098e-01
1.970000000000000000e+02,4.187221825122833252e-01
1.980000000000000000e+02,4.142782390117645264e-01
1.990000000000000000e+02,4.097700715065002441e-01
2.000000000000000000e+02,4.052018225193023682e-01
2.010000000000000000e+02,4.005781114101409912e-01
2.020000000000000000e+02,3.958994448184967041e-01
2.030000000000000000e+02,3.911558389663696289e-01
2.040000000000000000e+02,3.863485753536224365e-01
2.050000000000000000e+02,3.814956843852996826e-01
2.060000000000000000e+02,3.766167461872100830e-01
2.070000000000000000e+02,3.717087805271148682e-01
2.080000000000000000e+02,3.667706251144409180e-01
2.090000000000000000e+02,3.618033826351165771e-01
2.100000000000000000e+02,3.568207919597625732e-01
2.110000000000000000e+02,3.518316745758056641e-01
2.120000000000000000e+02,3.468333184719085693e-01
2.130000000000000000e+02,3.418301939964294434e-01
2.140000000000000000e+02,3.368274271488189697e-01
2.150000000000000000e+02,3.318338394165039062e-01
