time,ILCC
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,0.000000000000000000e+00
1.100000000000000000e+01,0.000000000000000000e+00
1.200000000000000000e+01,7.441225927323102951e-03
1.300000000000000000e+01,3.228050470352172852e-02
1.400000000000000000e+01,7.491264492273330688e-02
1.500000000000000000e+01,1.316478848457336426e-01
1.600000000000000000e+01,2.104887068271636963e-01
1.700000000000000000e+01,2.565467655658721924e-01
1.800000000000000000e+01,2.910742759704589844e-01
1.900000000000000000e+01,3.194480538368225098e-01
2.000000000000000000e+01,3.094901740550994873e-01
2.100000000000000000e+01,2.962419986724853516e-01
2.200000000000000000e+01,2.916867434978485107e-01
2.300000000000000000e+01,2.849695086479187012e-01
2.400000000000000000e+01,2.851072251796722412e-01
2.500000000000000000e+01,2.845405340194702148e-01
2.600000000000000000e+01,2.518837749958038330e-01
2.700000000000000000e+01,2.662742435932159424e-01
2.800000000000000000e+01,2.592741250991821289e-01
2.900000000000000000e+01,2.432145625352859497e-01
3.000000000000000000e+01,2.435234636068344116e-01
3.100000000000000000e+01,2.502815425395965576e-01
3.200000000000000000e+01,2.484443634748458862e-01
3.300000000000000000e+01,2.454713881015777588e-01
3.400000000000000000e+01,2.367740720510482788e-01
3.500000000000000000e+01,2.442715615034103394e-01
3.600000000000000000e+01,2.495838999748229980e-01
3.700000000000000000e+01,2.491548657417297363e-01
3.800000000000000000e+01,2.429729700088500977e-01
3.900000000000000000e+01,2.538291513919830322e-01
4.000000000000000000e+01,2.485949993133544922e-01
4.100000000000000000e+01,2.603124082088470459e-01
4.200000000000000000e+01,2.512540817260742188e-01
4.300000000000000000e+01,2.503078877925872803e-01
4.400000000000000000e+01,2.589383125305175781e-01
4.500000000000000000e+01,2.450771182775497437e-01
4.600000000000000000e+01,2.370865643024444580e-01
4.700000000000000000e+01,2.424663752317428589e-01
4.800000000000000000e+01,2.355648428201675415e-01
4.900000000000000000e+01,2.343852669000625610e-01
5.000000000000000000e+01,2.283399552106857300e-01
5.100000000000000000e+01,2.399354130029678345e-01
5.200000000000000000e+01,2.259130775928497314e-01
5.300000000000000000e+01,2.305076420307159424e-01
5.400000000000000000e+01,2.127817124128341675e-01
5.500000000000000000e+01,2.247623652219772339e-01
5.600000000000000000e+01,2.255403399467468262e-01
5.700000000000000000e+01,2.118905782699584961e-01
5.800000000000000000e+01,2.155095189809799194e-01
5.900000000000000000e+01,2.184053957462310791e-01
6.000000000000000000e+01,1.987779289484024048e-01
6.100000000000000000e+01,2.046653926372528076e-01
6.200000000000000000e+01,2.005409300327301025e-01
6.300000000000000000e+01,2.090798616409301758e-01
6.400000000000000000e+01,2.002304941415786743e-01
6.500000000000000000e+01,1.954721957445144653e-01
6.600000000000000000e+01,1.899123787879943848e-01
